NamaPembeli,Kelamin,Menikah,Tanggungan,Pendidikan,Pekerjaan,PendapatanUtama,PemasukanTambahan,JenisProperti,NUP,BookingFee,BiayaRumahTanah,UangMuka,PeriodeCicilan,RiwayatPinjaman,PersetujuanPembelian
Pembeli 486,L,Ya,1,SMP,PNS,5jt s.d. <10jt,5jt s.d. <10jt,Tanah,Ya,Ya,135000000,"Rp18.000.000,00",18,2+,ya
Pembeli 487,L,Tidak,2,SMP,Buruh Lepas,< 1jt,0,Tanah,Ya,Ya,134000000,"Rp12.000.000,00",18,0,tidak
Pembeli 488,L,Ya,1,SMP,POLRI-TNI,10jt s.d. <20jt,1jt s.d. <5jt,Rumah,Ya,Ya,187000000,"Rp68.000.000,00",18,2,ya
Pembeli 489,L,Ya,2,SMA,Pegawai Swasta,5jt s.d. <10jt,< 1jt,Tanah,Ya,Ya,100000000,"Rp40.000.000,00",18,2+,ya
Pembeli 490,L,Tidak,0,SMP,Buruh Lepas,< 1jt,0,Rumah,Ya,Ya,224000000,"Rp86.000.000,00",18,2+,tidak
Pembeli 491,L,Tidak,0,PascaSarjana,Buruh Lepas,< 1jt,0,Tanah,Tidak,Ya,122000000,"Rp10.000.000,00",18,2+,tidak
Pembeli 492,L,Ya,1,SMP,Buruh Lepas,< 1jt,0,Rumah,Tidak,Ya,209000000,"Rp71.000.000,00",18,0,tidak
Pembeli 493,L,Tidak,0,SD,Wiraswasta,20jt s.d. <30jt,5jt s.d. <10jt,Tanah,Ya,Ya,119000000,"Rp49.000.000,00",18,2,ya
Pembeli 494,P,Tidak,0,PascaSarjana,PNS,1jt s.d. <5jt,< 1jt,Tanah,Tidak,Ya,123000000,"Rp43.000.000,00",18,2+,tidak
Pembeli 495,L,Ya,0,Sarjana,Buruh Lepas,< 1jt,0,Tanah,Ya,Ya,147000000,"Rp12.000.000,00",18,1,tidak
Pembeli 496,P,Ya,1,SD,PNS,5jt s.d. <10jt,< 1jt,Tanah,Tidak,Ya,133000000,"Rp21.000.000,00",12,2+,ya
Pembeli 497,L,Ya,0,SD,Pegawai Swasta,1jt s.d. <5jt,1jt s.d. <5jt,Tanah,Tidak,Ya,113000000,"Rp41.000.000,00",18,1,tidak
Pembeli 498,L,Ya,0,SMA,Buruh Lepas,< 1jt,0,Rumah,Tidak,Ya,213000000,"Rp73.000.000,00",12,2,tidak
Pembeli 499,L,Ya,1,SD,Buruh Lepas,< 1jt,0,Tanah,Tidak,Ya,130000000,"Rp19.000.000,00",18,1,tidak
Pembeli 500,L,Tidak,0,Sarjana,PNS,5jt s.d. <10jt,5jt s.d. <10jt,Tanah,Ya,Ya,130000000,"Rp22.000.000,00",18,1,ya
Pembeli 501,P,Tidak,0,SD,PNS,10jt s.d. <20jt,< 1jt,Tanah,Ya,Ya,143000000,"Rp34.000.000,00",24,0,ya
Pembeli 502,P,Tidak,0,SMP,Buruh Lepas,< 1jt,0,Tanah,Tidak,Ya,107000000,"Rp22.000.000,00",18,1,tidak
Pembeli 503,L,Ya,2,Sarjana,POLRI-TNI,10jt s.d. <20jt,5jt s.d. <10jt,Tanah,Ya,Ya,143000000,"Rp12.000.000,00",18,2,ya
Pembeli 504,L,Ya,1,SMP,PNS,10jt s.d. <20jt,5jt s.d. <10jt,Tanah,Tidak,Ya,139000000,"Rp16.000.000,00",18,2,ya
Pembeli 505,L,Ya,0,SMA,Pegawai Swasta,5jt s.d. <10jt,1jt s.d. <5jt,Tanah,Ya,Ya,150000000,"Rp34.000.000,00",18,2,ya
Pembeli 506,L,Ya,2,SD,PNS,1jt s.d. <5jt,1jt s.d. <5jt,Tanah,Ya,Ya,108000000,"Rp47.000.000,00",18,2+,tidak
Pembeli 507,L,Ya,0,SD,PNS,5jt s.d. <10jt,5jt s.d. <10jt,Rumah,Ya,Ya,190000000,"Rp68.000.000,00",18,0,ya
Pembeli 508,,Tidak,0,SMA,PNS,5jt s.d. <10jt,5jt s.d. <10jt,Rumah,Ya,Ya,188000000,"Rp54.000.000,00",18,0,ya
Pembeli 509,L,Ya,0,Sarjana,Pegawai Swasta,1jt s.d. <5jt,1jt s.d. <5jt,Rumah,Ya,Ya,188000000,"Rp71.000.000,00",18,2,tidak
Pembeli 510,P,Tidak,1,SD,Wiraswasta,20jt s.d. <30jt,10jt s.d. <20jt,Rumah,Ya,Ya,211000000,"Rp93.000.000,00",18,0,ya
Pembeli 511,L,Tidak,0,SMP,Buruh Lepas,< 1jt,0,Tanah,Tidak,Ya,125000000,"Rp30.000.000,00",18,2+,tidak
Pembeli 512,L,Ya,1,PascaSarjana,PNS,5jt s.d. <10jt,1jt s.d. <5jt,Tanah,Tidak,Ya,139000000,"Rp47.000.000,00",18,1,ya
Pembeli 513,L,Ya,2,SD,POLRI-TNI,5jt s.d. <10jt,5jt s.d. <10jt,Rumah,Tidak,Ya,205000000,"Rp62.000.000,00",18,0,ya
Pembeli 514,L,Ya,0,Sarjana,POLRI-TNI,1jt s.d. <5jt,< 1jt,Tanah,Tidak,Ya,129000000,"Rp11.000.000,00",12,0,tidak
Pembeli 515,L,Tidak,0,Sarjana,Pegawai Swasta,1jt s.d. <5jt,< 1jt,Tanah,Tidak,Ya,111000000,"Rp26.000.000,00",18,1,tidak
Pembeli 516,L,Ya,3+,PascaSarjana,Buruh Lepas,< 1jt,0,Tanah,Tidak,Ya,143000000,"Rp36.000.000,00",18,2,tidak
Pembeli 517,P,Ya,2,Sarjana,Buruh Lepas,< 1jt,0,Tanah,Tidak,Ya,140000000,"Rp18.000.000,00",24,0,tidak
Pembeli 518,L,Ya,,PascaSarjana,Buruh Lepas,< 1jt,0,Tanah,Ya,Ya,104000000,"Rp40.000.000,00",18,0,tidak
Pembeli 519,L,Tidak,0,PascaSarjana,POLRI-TNI,1jt s.d. <5jt,< 1jt,Tanah,Tidak,Ya,100000000,"Rp14.000.000,00",18,2+,tidak
Pembeli 520,P,Tidak,0,PascaSarjana,Pegawai Swasta,5jt s.d. <10jt,< 1jt,Tanah,Ya,Ya,127000000,"Rp36.000.000,00",18,0,ya
Pembeli 521,L,Ya,2,SD,Wiraswasta,> 30jt,10jt s.d. <20jt,Tanah,Ya,Ya,136000000,"Rp11.000.000,00",18,2+,ya
Pembeli 522,L,Tidak,0,SMA,Wiraswasta,5jt s.d. <10jt,1jt s.d. <5jt,Tanah,Ya,Ya,105000000,"Rp39.000.000,00",18,2+,ya
Pembeli 523,L,Ya,3+,SMP,Pegawai Swasta,1jt s.d. <5jt,1jt s.d. <5jt,Tanah,Tidak,Ya,136000000,"Rp50.000.000,00",18,2,tidak
Pembeli 524,L,Ya,2,SMA,POLRI-TNI,5jt s.d. <10jt,< 1jt,Tanah,Tidak,Ya,139000000,"Rp20.000.000,00",18,1,ya
Pembeli 525,L,Tidak,0,SMA,POLRI-TNI,10jt s.d. <20jt,1jt s.d. <5jt,Tanah,Tidak,Ya,100000000,"Rp11.000.000,00",18,2+,ya
Pembeli 526,L,Ya,2,Sarjana,PNS,5jt s.d. <10jt,< 1jt,Tanah,Ya,Ya,125000000,"Rp10.000.000,00",18,2+,ya
Pembeli 527,L,Ya,0,SMP,PNS,5jt s.d. <10jt,< 1jt,Tanah,Tidak,Ya,128000000,"Rp40.000.000,00",18,2,ya
Pembeli 528,L,Ya,1,SMA,Pegawai Swasta,1jt s.d. <5jt,< 1jt,Tanah,Tidak,Ya,104000000,"Rp11.000.000,00",18,2,tidak
Pembeli 529,L,Tidak,1,Sarjana,Wiraswasta,10jt s.d. <20jt,10jt s.d. <20jt,Tanah,Tidak,Ya,109000000,"Rp17.000.000,00",18,2,ya
Pembeli 530,L,Tidak,0,Sarjana,POLRI-TNI,5jt s.d. <10jt,5jt s.d. <10jt,Tanah,Tidak,Ya,100000000,"Rp17.000.000,00",18,2,ya
Pembeli 531,L,Ya,0,SD,PNS,1jt s.d. <5jt,5jt s.d. <10jt,Tanah,Tidak,Ya,142000000,"Rp48.000.000,00",18,1,tidak
Pembeli 532,L,Ya,3+,SMA,Pegawai Swasta,5jt s.d. <10jt,< 1jt,Rumah,Tidak,Ya,186000000,"Rp76.000.000,00",18,2+,ya
Pembeli 533,L,Tidak,2,SD,Wiraswasta,5jt s.d. <10jt,10jt s.d. <20jt,Tanah,Tidak,Ya,102000000,"Rp20.000.000,00",18,1,ya
Pembeli 534,L,Tidak,1,Sarjana,PNS,1jt s.d. <5jt,< 1jt,Tanah,Tidak,Ya,119000000,"Rp41.000.000,00",18,1,tidak
Pembeli 535,P,Tidak,0,SMA,PNS,10jt s.d. <20jt,5jt s.d. <10jt,Rumah,Tidak,Ya,211000000,"Rp60.000.000,00",18,2,ya
Pembeli 536,L,Tidak,0,SMA,POLRI-TNI,5jt s.d. <10jt,< 1jt,Tanah,Tidak,Ya,145000000,"Rp47.000.000,00",18,2,ya
Pembeli 537,L,Ya,0,SD,PNS,10jt s.d. <20jt,< 1jt,Rumah,Tidak,Ya,214000000,"Rp88.000.000,00",18,2+,ya
Pembeli 538,L,Tidak,2,PascaSarjana,Wiraswasta,> 30jt,5jt s.d. <10jt,Tanah,Tidak,Ya,139000000,"Rp46.000.000,00",18,2+,ya
Pembeli 539,L,Ya,0,SMP,PNS,5jt s.d. <10jt,5jt s.d. <10jt,Tanah,Tidak,Ya,141000000,"Rp46.000.000,00",18,2+,ya
Pembeli 540,L,Ya,3+,Sarjana,PNS,1jt s.d. <5jt,5jt s.d. <10jt,Tanah,Ya,Ya,147000000,"Rp16.000.000,00",12,1,tidak
Pembeli 541,P,Ya,1,Sarjana,Wiraswasta,5jt s.d. <10jt,5jt s.d. <10jt,Tanah,Tidak,Ya,111000000,"Rp36.000.000,00",12,1,ya
Pembeli 542,P,Tidak,0,SMA,Wiraswasta,> 30jt,10jt s.d. <20jt,Tanah,Tidak,Ya,101000000,"Rp33.000.000,00",18,2+,ya
Pembeli 543,P,Tidak,1,PascaSarjana,POLRI-TNI,1jt s.d. <5jt,< 1jt,Tanah,Ya,Ya,115000000,"Rp28.000.000,00",18,0,tidak
Pembeli 544,L,Ya,1,SMA,Buruh Lepas,< 1jt,0,Rumah,Tidak,Ya,230000000,"Rp80.000.000,00",18,1,tidak
Pembeli 545,P,Ya,0,SMP,Wiraswasta,5jt s.d. <10jt,1jt s.d. <5jt,Tanah,Ya,Ya,127000000,"Rp33.000.000,00",18,2,ya
Pembeli 546,L,Ya,0,SD,Buruh Lepas,< 1jt,0,Tanah,Ya,Ya,119000000,"Rp43.000.000,00",18,2+,tidak
Pembeli 547,L,Tidak,0,SMA,Buruh Lepas,< 1jt,0,Tanah,Tidak,Ya,145000000,"Rp12.000.000,00",18,2,tidak
Pembeli 548,L,Tidak,0,SMA,PNS,5jt s.d. <10jt,< 1jt,Tanah,Tidak,Ya,135000000,"Rp40.000.000,00",18,0,ya
Pembeli 549,P,Tidak,0,SMP,Buruh Lepas,< 1jt,0,Tanah,Ya,Ya,149000000,"Rp12.000.000,00",18,2+,tidak
Pembeli 550,L,Ya,0,SMP,Pegawai Swasta,1jt s.d. <5jt,1jt s.d. <5jt,Tanah,Ya,Ya,121000000,"Rp38.000.000,00",18,0,tidak
Pembeli 551,L,Ya,2,SD,POLRI-TNI,1jt s.d. <5jt,< 1jt,Tanah,Ya,Ya,101000000,"Rp31.000.000,00",18,2,tidak
Pembeli 552,L,Ya,1,PascaSarjana,Wiraswasta,20jt s.d. <30jt,10jt s.d. <20jt,Tanah,Ya,Ya,134000000,"Rp28.000.000,00",18,2+,ya
Pembeli 553,L,Ya,1,SMA,PNS,5jt s.d. <10jt,< 1jt,Rumah,Ya,Ya,223000000,"Rp60.000.000,00",18,1,ya
Pembeli 554,L,Ya,0,SD,Buruh Lepas,< 1jt,0,Rumah,Ya,Ya,245000000,"Rp100.000.000,00",18,0,tidak
Pembeli 555,L,Ya,0,SD,Wiraswasta,20jt s.d. <30jt,5jt s.d. <10jt,Tanah,Tidak,Ya,101000000,"Rp45.000.000,00",12,2+,ya
Pembeli 556,L,Ya,1,PascaSarjana,Buruh Lepas,< 1jt,0,Tanah,Ya,Ya,145000000,"Rp27.000.000,00",18,2+,tidak
Pembeli 557,P,Tidak,0,SD,Buruh Lepas,< 1jt,0,Rumah,Tidak,Ya,215000000,"Rp54.000.000,00",18,1,tidak
Pembeli 558,L,Ya,3+,SMA,Pegawai Swasta,5jt s.d. <10jt,1jt s.d. <5jt,Tanah,Tidak,Ya,150000000,"Rp31.000.000,00",18,2,ya
Pembeli 559,L,Ya,0,Sarjana,POLRI-TNI,10jt s.d. <20jt,< 1jt,Tanah,Ya,Ya,100000000,"Rp50.000.000,00",18,2,ya
Pembeli 560,P,Ya,0,SD,PNS,5jt s.d. <10jt,1jt s.d. <5jt,Tanah,Ya,Ya,111000000,"Rp26.000.000,00",18,2,ya
Pembeli 561,L,Ya,2,SMA,Pegawai Swasta,5jt s.d. <10jt,1jt s.d. <5jt,Tanah,Tidak,Ya,150000000,"Rp16.000.000,00",18,2,ya
Pembeli 562,P,Ya,1,Sarjana,POLRI-TNI,5jt s.d. <10jt,< 1jt,Tanah,Ya,Ya,140000000,"Rp16.000.000,00",18,1,ya
Pembeli 563,L,Ya,0,SMA,Wiraswasta,> 30jt,1jt s.d. <5jt,Tanah,Tidak,Ya,120000000,"Rp17.000.000,00",18,2,ya
Pembeli 564,L,Tidak,0,SMA,POLRI-TNI,1jt s.d. <5jt,1jt s.d. <5jt,Tanah,Ya,Ya,106000000,"Rp25.000.000,00",18,2,tidak
Pembeli 565,L,Ya,2,Sarjana,Wiraswasta,5jt s.d. <10jt,5jt s.d. <10jt,Rumah,Tidak,Ya,236000000,"Rp90.000.000,00",18,1,ya
Pembeli 566,L,Ya,0,Sarjana,PNS,10jt s.d. <20jt,5jt s.d. <10jt,Tanah,Ya,Ya,106000000,"Rp25.000.000,00",18,0,ya
Pembeli 567,L,Tidak,0,Sarjana,Wiraswasta,> 30jt,10jt s.d. <20jt,Rumah,Tidak,Ya,232000000,"Rp75.000.000,00",18,0,ya
Pembeli 568,L,Ya,3+,PascaSarjana,Wiraswasta,10jt s.d. <20jt,1jt s.d. <5jt,Tanah,Tidak,Ya,106000000,"Rp37.000.000,00",18,2+,ya
Pembeli 569,P,Tidak,0,SMP,PNS,1jt s.d. <5jt,1jt s.d. <5jt,Rumah,Ya,Ya,213000000,"Rp84.000.000,00",18,2+,tidak
Pembeli 570,L,Ya,0,SMA,Pegawai Swasta,5jt s.d. <10jt,< 1jt,Rumah,Tidak,Ya,232000000,"Rp86.000.000,00",18,1,ya
Pembeli 571,L,Ya,1,SMA,Wiraswasta,10jt s.d. <20jt,1jt s.d. <5jt,Rumah,Ya,Ya,233000000,"Rp54.000.000,00",18,1,ya
Pembeli 572,L,Ya,2,PascaSarjana,Wiraswasta,20jt s.d. <30jt,1jt s.d. <5jt,Rumah,Ya,Ya,225000000,"Rp69.000.000,00",18,0,ya
Pembeli 573,L,Ya,2,SMA,Pegawai Swasta,1jt s.d. <5jt,1jt s.d. <5jt,Rumah,Tidak,Ya,237000000,"Rp65.000.000,00",18,0,tidak
Pembeli 574,L,Ya,2,SMA,Buruh Lepas,< 1jt,0,Tanah,Ya,Ya,145000000,"Rp16.000.000,00",24,0,tidak
Pembeli 575,L,Ya,3+,SMA,Wiraswasta,5jt s.d. <10jt,1jt s.d. <5jt,Tanah,Tidak,Ya,149000000,"Rp50.000.000,00",18,2,ya
Pembeli 576,L,Ya,2,SD,Pegawai Swasta,1jt s.d. <5jt,1jt s.d. <5jt,Rumah,Ya,Ya,204000000,"Rp95.000.000,00",12,0,tidak
Pembeli 577,,Ya,0,PascaSarjana,Wiraswasta,5jt s.d. <10jt,10jt s.d. <20jt,Tanah,Tidak,Ya,114000000,"Rp16.000.000,00",18,2+,ya
Pembeli 578,L,Tidak,0,PascaSarjana,Pegawai Swasta,1jt s.d. <5jt,< 1jt,Rumah,Tidak,Ya,208000000,"Rp59.000.000,00",18,2,ya
Pembeli 579,L,Ya,1,SD,Wiraswasta,10jt s.d. <20jt,10jt s.d. <20jt,Tanah,Ya,Ya,130000000,"Rp27.000.000,00",18,2,ya
Pembeli 580,L,Tidak,0,PascaSarjana,PNS,5jt s.d. <10jt,< 1jt,Rumah,Tidak,Ya,203000000,"Rp76.000.000,00",18,2,ya
Pembeli 581,L,Ya,2,Sarjana,PNS,10jt s.d. <20jt,5jt s.d. <10jt,Tanah,Tidak,Ya,145000000,"Rp44.000.000,00",18,2,ya
Pembeli 582,L,Tidak,0,SMA,Buruh Lepas,< 1jt,0,Rumah,Ya,Ya,228000000,"Rp93.000.000,00",18,2,tidak
Pembeli 583,P,Ya,0,Sarjana,POLRI-TNI,10jt s.d. <20jt,< 1jt,Tanah,Tidak,Ya,138000000,31000000,18,1,ya
Pembeli 584,L,Ya,1,SMP,POLRI-TNI,1jt s.d. <5jt,< 1jt,Tanah,Ya,Ya,147000000,17000000,18,1,tidak
Pembeli 585,L,Ya,1,SMP,Pegawai Swasta,1jt s.d. <5jt,< 1jt,Tanah,Ya,Ya,150000000,40000000,18,2+,tidak
Pembeli 586,L,Ya,1,SMP,Pegawai Swasta,5jt s.d. <10jt,1jt s.d. <5jt,Tanah,Ya,Ya,142000000,47000000,12,0,tidak
Pembeli 587,L,Ya,0,SMA,POLRI-TNI,10jt s.d. <20jt,5jt s.d. <10jt,Rumah,Ya,Ya,207000000,58000000,18,2,ya
Pembeli 588,P,Tidak,0,SMP,Wiraswasta,5jt s.d. <10jt,1jt s.d. <5jt,Tanah,Tidak,Ya,118000000,27000000,18,2+,ya
Pembeli 589,P,Tidak,0,PascaSarjana,PNS,5jt s.d. <10jt,< 1jt,Tanah,Tidak,Ya,102000000,43000000,18,2,ya
Pembeli 590,L,Ya,2,SMP,Buruh Lepas,< 1jt,0,Tanah,Ya,Ya,134000000,14000000,18,2,tidak
Pembeli 591,L,Ya,0,SD,Wiraswasta,5jt s.d. <10jt,5jt s.d. <10jt,Tanah,Tidak,Ya,116000000,13000000,12,2,ya
Pembeli 592,L,Ya,2,Sarjana,Wiraswasta,5jt s.d. <10jt,1jt s.d. <5jt,Tanah,Tidak,Ya,144000000,14000000,12,2,ya
Pembeli 593,P,Tidak,0,SD,Wiraswasta,5jt s.d. <10jt,1jt s.d. <5jt,Tanah,Ya,Ya,127000000,36000000,18,2+,ya
Pembeli 594,L,Ya,0,SD,Wiraswasta,> 30jt,1jt s.d. <5jt,Tanah,Tidak,Ya,129000000,48000000,12,1,ya
Pembeli 595,L,Ya,0,Sarjana,Wiraswasta,10jt s.d. <20jt,5jt s.d. <10jt,Rumah,Tidak,Ya,181000000,73000000,18,1,ya
Pembeli 596,L,Tidak,0,SD,POLRI-TNI,1jt s.d. <5jt,< 1jt,Tanah,Ya,Ya,143000000,17000000,18,2+,tidak
Pembeli 597,L,Ya,2,PascaSarjana,Buruh Lepas,< 1jt,0,Tanah,Ya,Ya,122000000,35000000,18,2+,tidak
Pembeli 598,L,Tidak,0,SMP,Pegawai Swasta,5jt s.d. <10jt,< 1jt,Tanah,Ya,Ya,112000000,40000000,18,1,ya
Pembeli 599,L,Ya,0,SMA,POLRI-TNI,10jt s.d. <20jt,5jt s.d. <10jt,Tanah,Tidak,Ya,127000000,21000000,18,2+,ya
Pembeli 600,L,Ya,2,SD,PNS,5jt s.d. <10jt,< 1jt,Rumah,Ya,Ya,224000000,72000000,18,1,ya
